Blue_ADC,Blue_Support,Red_ADC,Red_Support,Bot_Gold_Diff_10,matchID,Blue_Win
Zeri,Bard,Karthus,Milio,39,EUW1_6879641249,0
Yasuo,Pyke,Jinx,Thresh,95,EUW1_6879605389,0
Xayah,Soraka,Jinx,Janna,-151,EUW1_6879548140,0
Kalista,Thresh,Karthus,Blitzcrank,1288,EUW1_6879516026,1
Lucian,Milio,Samira,Camille,-963,EUW1_6879477830,0
Ezreal,Janna,Kaisa,Karma,-1097,EUW1_6879416454,0
Zeri,Braum,Jinx,Janna,834,EUW1_6879395202,1
Kaisa,Janna,Nilah,Rakan,1685,EUW1_6878727750,0
Kaisa,Rakan,Zeri,Janna,28,EUW1_6878668033,1
Varus,Lulu,Karthus,Sona,-2741,EUW1_6878594652,1
Vayne,Zyra,Jinx,Milio,720,EUW1_6883426016,1
Vayne,Sona,Jinx,Camille,-1581,EUW1_6882923538,0
Aphelios,Janna,Jinx,Rakan,4941,EUW1_6882415490,1
Caitlyn,Xerath,Twitch,Nautilus,-62,EUW1_6882392893,0
Zeri,Seraphine,Jinx,Pyke,-786,EUW1_6881540057,0
Jhin,Rakan,Lucian,Zoe,388,EUW1_6881474931,0
Caitlyn,Blitzcrank,Kaisa,Rakan,1709,EUW1_6881140491,0
Jinx,Thresh,Ezreal,Hwei,-1522,EUW1_6881049630,1
Kaisa,Thresh,Smolder,Janna,1160,EUW1_6881015899,1
Zeri,Bard,Jhin,Annie,-614,EUW1_6880971360,1
Nilah,Nautilus,Twitch,Rakan,431,EUW1_6880953683,1
Seraphine,Poppy,Samira,Amumu,327,EUW1_6880919285,1
Kaisa,Nami,Yasuo,Pantheon,656,EUW1_6880708911,1
Jinx,Janna,Senna,Soraka,-2697,EUW1_6880677044,0
Jinx,Janna,Karthus,Rakan,-210,EUW1_6880486949,1
Ashe,Karma,Draven,Thresh,-2727,EUW1_6880419347,0
Zeri,Pyke,Vayne,Lulu,680,EUW1_6880357829,0
Zeri,Zyra,Jinx,Janna,1574,EUW1_6880291602,0
Draven,Renata,Kaisa,Lulu,-324,EUW1_6879986819,1
Varus,Janna,Jinx,Rumble,-549,EUW1_6879774455,1
Aphelios,Nami,Draven,Zilean,-1501,EUW1_6879533217,0
Zeri,Karma,Vayne,Nami,1193,EUW1_6879504011,0
Jinx,Senna,Zeri,Rakan,2256,EUW1_6879473510,1
Jinx,Camille,Kaisa,Alistar,974,EUW1_6879429807,1
Draven,Nautilus,Jinx,Morgana,724,EUW1_6879415577,1
Xayah,Rell,Samira,Nautilus,-1090,EUW1_6879369009,1
Kalista,Braum,Draven,Blitzcrank,-949,EUW1_6879362596,0
Samira,Nautilus,Jhin,Xerath,28,EUW1_6879328443,0
Varus,Thresh,Samira,Rell,-676,EUW1_6879320011,0
Lucian,Nami,Sivir,Rell,160,EUW1_6878045943,0
Xayah,Rakan,Sivir,Soraka,413,EUW1_6878001527,1
KogMaw,Nautilus,Zeri,Taliyah,-680,EUW1_6877966845,1
Zeri,Nami,Veigar,Yuumi,57,EUW1_6883451934,0
Veigar,Yuumi,Draven,Nami,-477,EUW1_6883396806,1
Jinx,Lulu,Lucian,Blitzcrank,-1624,EUW1_6880795048,0
Zeri,Yuumi,Samira,Zilean,1263,EUW1_6880775183,0
Jinx,Lulu,Caitlyn,Karma,-1573,EUW1_6880761807,1
Kaisa,Leona,Lucian,Nami,-3551,EUW1_6879619336,0
Draven,Lux,Twitch,Nami,-618,EUW1_6879561243,1
KogMaw,Alistar,Caitlyn,Karma,39,EUW1_6879356460,1
Kalista,Bard,Aphelios,Thresh,3459,EUW1_6879339844,1
Yasuo,Senna,Jhin,Zyra,3596,EUW1_6868199566,1
Yasuo,Gragas,Draven,Karma,614,EUW1_6868139201,1
Yasuo,Sona,Caitlyn,Janna,-517,EUW1_6868082263,0
Kaisa,Bard,Jinx,Milio,-420,EUW1_6808036707,1
Nilah,Maokai,Kalista,Hwei,4549,EUW1_6793327751,1
Vayne,Janna,Caitlyn,Senna,1710,EUW1_6793280673,1
Kalista,Rakan,Kaisa,Pyke,-32,EUW1_6782802885,1
Varus,Thresh,Ashe,Karma,-311,EUW1_6883090969,1
Vayne,Pyke,Zeri,Lulu,-649,EUW1_6882971613,0
Zeri,Milio,Jinx,Lulu,67,EUW1_6881336498,0
Jhin,Nautilus,Aphelios,Janna,904,EUW1_6880977444,1
Tristana,Lulu,Zeri,Milio,638,EUW1_6880831027,1
Jinx,Camille,Zeri,Lulu,-2407,EUW1_6880019896,0
Akshan,Janna,KogMaw,Lulu,-337,EUW1_6879984965,1
Samira,Maokai,Jinx,Lulu,-1140,EUW1_6879392451,0
Kaisa,Nami,Jinx,Lulu,-1863,EUW1_6878691339,0
Twitch,Lulu,Zeri,Zyra,372,EUW1_6878618879,1
Lucian,Bard,Kaisa,Nautilus,526,EUW1_6849046095,1
Varus,Lulu,Zeri,Senna,2580,EUW1_6838707119,1
TwistedFate,Thresh,Kaisa,Senna,720,EUW1_6838495999,0
Samira,Leona,Ezreal,Ashe,-1873,EUW1_6838429031,0
Samira,Nautilus,Senna,Alistar,-1908,EUW1_6819232669,0
Smolder,Karma,Sivir,Blitzcrank,407,EUW1_6816947440,0
Jhin,Senna,Lucian,Maokai,442,EUW1_6816888146,1
Jhin,Karma,Caitlyn,Maokai,-867,EUW1_6813819315,0
Ashe,Rakan,Ezreal,Janna,71,EUW1_6813780009,1
Lucian,Nautilus,Vayne,Lulu,-450,EUW1_6883736386,0
Twitch,FiddleSticks,Yasuo,Braum,987,EUW1_6883726492,1
Varus,Alistar,Jinx,Nami,-1822,EUW1_6882964887,0
Ezreal,Nautilus,Vayne,Ashe,-2141,EUW1_6882485375,0
Kaisa,Blitzcrank,Jinx,Rell,871,EUW1_6882461379,0
Varus,Xerath,Chogath,Senna,497,EUW1_6882367191,1
Zyra,Senna,Samira,Leona,402,EUW1_6881208146,1
Kaisa,Blitzcrank,Jinx,Karma,385,EUW1_6881172520,1
Vayne,Pyke,Jinx,Milio,3230,EUW1_6880959372,1
Seraphine,Senna,Twitch,Shaco,39,EUW1_6879380283,1
Draven,Janna,Jinx,Lulu,1383,EUW1_6879360353,0
Xayah,Ashe,Jinx,Pyke,-844,EUW1_6878596740,0
Jinx,Zyra,Xayah,Janna,264,EUW1_6878567709,0
Caitlyn,Thresh,Jinx,Janna,1528,EUW1_6878521823,0
Twitch,Nami,Jinx,Rakan,-1002,EUW1_6878469892,0
Varus,Janna,Kaisa,Thresh,-539,EUW1_6878436527,1
Ashe,Bard,Sivir,Nautilus,-233,EUW1_6878318723,1
Twitch,Camille,Kaisa,Nautilus,1477,EUW1_6878246309,1
Vayne,Rell,Twitch,Nami,-307,EUW1_6878213684,1
Jhin,Zoe,Kaisa,Blitzcrank,1039,EUW1_6881559835,1
Draven,Thresh,Aphelios,Janna,562,EUW1_6881481936,1
Draven,Janna,Jinx,Lulu,1096,EUW1_6881443646,1
Chogath,Zilean,Xayah,Sylas,1181,EUW1_6881361419,0
Ezreal,Blitzcrank,Swain,Janna,-640,EUW1_6881306887,0
Varus,Renata,Jinx,Lulu,461,EUW1_6881258688,0
Vayne,Sona,Draven,Nami,-734,EUW1_6881197251,1
Jinx,Milio,Twitch,Senna,-178,EUW1_6880902720,0
Jinx,Janna,Twitch,Camille,-1795,EUW1_6880881273,0
Kaisa,Nautilus,Twitch,Lux,-857,EUW1_6879369836,0
Varus,TahmKench,LeeSin,Senna,-2907,EUW1_6879337283,0
Draven,Soraka,Jinx,TahmKench,3452,EUW1_6879322449,0
Ashe,Milio,Smolder,Ekko,2174,EUW1_6879316876,0
Vayne,Pyke,Smolder,Leona,-1235,EUW1_6879305890,0
Zeri,Twitch,Kaisa,Lulu,532,EUW1_6879285795,1
KogMaw,Sona,Vayne,Velkoz,-2551,EUW1_6879257540,0
Jinx,Zilean,Twitch,Nautilus,-48,EUW1_6879215084,0
Samira,Lux,Ashe,Rakan,804,EUW1_6877959455,1
Zeri,Braum,Lucian,Milio,-1591,EUW1_6877938062,1
Zeri,Taric,KogMaw,Lulu,-270,EUW1_6883768747,0
Lucian,Janna,Zeri,Milio,-536,EUW1_6883649421,0
Aphelios,JarvanIV,Zeri,Nautilus,-843,EUW1_6883632185,0
Ezreal,Neeko,Twitch,Alistar,619,EUW1_6883516203,1
Lucian,Nami,Ziggs,Rell,1311,EUW1_6883482493,0
Lucian,Nami,Zeri,Annie,-1578,EUW1_6883442460,0
Kaisa,Alistar,Ezreal,Milio,-636,EUW1_6883394231,0
Kaisa,Blitzcrank,Lucian,Nami,-1301,EUW1_6882750553,0
Jinx,Senna,Caitlyn,Blitzcrank,-2272,EUW1_6882665091,1
Kaisa,Karma,Aphelios,Bard,419,EUW1_6882634513,1
Caitlyn,Velkoz,Jinx,Warwick,1621,EUW1_6882591708,0
Jinx,Soraka,Caitlyn,Brand,-516,EUW1_6882471906,1
Caitlyn,Janna,Kaisa,Velkoz,-692,EUW1_6882440457,0
Jinx,Lulu,Twitch,Blitzcrank,-1385,EUW1_6882381419,0
Caitlyn,Rell,Vayne,Rakan,1178,EUW1_6882211110,1
Caitlyn,Senna,Xayah,Zyra,2154,EUW1_6881389247,1
Zeri,Taric,Kaisa,Janna,-1828,EUW1_6881254628,0
Jinx,Rakan,Twitch,Taric,-1927,EUW1_6881205666,0
Kaisa,Braum,Twitch,Milio,-1095,EUW1_6883756729,0
Samira,Blitzcrank,Ashe,Janna,-418,EUW1_6883745706,0
Zeri,Milio,Varus,Maokai,43,EUW1_6883368045,1
Ezreal,Bard,Twitch,Morgana,-1060,EUW1_6883007615,0
Jinx,Bard,Ezreal,Thresh,159,EUW1_6882954907,1
Jinx,Bard,Twitch,Rell,862,EUW1_6882638680,1
Caitlyn,Janna,Jhin,Lux,32,EUW1_6882585770,0
Lucian,Milio,Vayne,Hwei,1076,EUW1_6882077668,0
Draven,Janna,Jinx,Lulu,1877,EUW1_6882003350,1
Varus,Kaisa,Jinx,Milio,-540,EUW1_6881531470,1
Twitch,Maokai,Jinx,Braum,813,EUW1_6881453186,0
Kaisa,Nautilus,Draven,Pantheon,-4358,EUW1_6881277729,0
Kalista,Nautilus,Caitlyn,Nasus,931,EUW1_6881223965,1
Jinx,Lulu,Ezreal,Milio,1305,EUW1_6880530945,1
Ezreal,Nautilus,Twitch,Milio,446,EUW1_6880429581,0
Lucian,Milio,Jhin,Shaco,1932,EUW1_6880327429,1
Vayne,Milio,Jhin,Pyke,576,EUW1_6880216498,0
Seraphine,Senna,Aphelios,Blitzcrank,1545,EUW1_6880004149,1
Zeri,Nami,Kaisa,Nautilus,-1210,EUW1_6879962678,0
Veigar,Maokai,Twitch,Milio,-654,EUW1_6879884994,0
Zeri,Janna,Twitch,Milio,151,EUW1_6882250226,0
Kaisa,Hwei,Ashe,Heimerdinger,2036,EUW1_6882233394,1
Jinx,Camille,Ashe,Poppy,1144,EUW1_6882216219,1
Jinx,Rakan,Kaisa,Rell,177,EUW1_6882041448,1
Xayah,Rakan,Aphelios,Shaco,1203,EUW1_6881979904,1
Lucian,Milio,Vayne,Zilean,784,EUW1_6881905108,1
Kaisa,Rell,Aphelios,Sylas,-1556,EUW1_6881832212,1
Kaisa,Alistar,Ezreal,Rell,-1213,EUW1_6881782467,1
Lucian,Nami,Zeri,Karma,-1288,EUW1_6881707718,1
Twitch,Lulu,Jhin,Karma,-1950,EUW1_6881461686,0
Draven,Rell,Varus,Leona,2626,EUW1_6881427470,1
