Blue_ADC,Blue_Support,Red_ADC,Red_Support,Bot_Gold_Diff_10,matchID,Blue_Win
Zeri,Pyke,Jinx,Zyra,-379,EUW1_6879225998,0
Zeri,Zilean,Jinx,Renata,757,EUW1_6879122020,1
Ezreal,Soraka,Twitch,Janna,601,EUW1_6883232167,0
Sivir,Janna,Ezreal,Ashe,-2215,EUW1_6882693028,1
Jinx,Janna,Ashe,Lulu,-1006,EUW1_6882632191,0
Zeri,Braum,Jinx,Lulu,-1656,EUW1_6882584163,0
Tristana,Rell,Zeri,Milio,641,EUW1_6882248137,1
Ezreal,Maokai,Draven,Rumble,1944,EUW1_6882237819,1
Jinx,Braum,Ashe,Zilean,1847,EUW1_6882213057,0
Ashe,Thresh,Draven,Nautilus,-1938,EUW1_6882130666,0
Zeri,TahmKench,Ashe,Senna,-3816,EUW1_6882076110,0
Jinx,Lulu,MissFortune,JarvanIV,-858,EUW1_6882013396,1
Kalista,Maokai,Jinx,Lulu,271,EUW1_6881961127,0
Lucian,Milio,Ezreal,Soraka,1078,EUW1_6881851725,1
Xayah,Rakan,Ezreal,Braum,909,EUW1_6880701834,0
Tristana,Renata,AurelionSol,Janna,1321,EUW1_6880674670,0
Lucian,Pyke,Jhin,Zyra,1735,EUW1_6880629826,1
Kalista,Camille,Ezreal,Janna,1144,EUW1_6880596478,1
Kaisa,Shaco,Zeri,Braum,555,EUW1_6880535071,0
Vayne,Karma,Lucian,Milio,-3107,EUW1_6880271467,0
Twitch,Zilean,Ashe,Bard,3533,EUW1_6880216591,1
Jinx,Lulu,Vayne,Thresh,900,EUW1_6883329187,1
Jinx,Sylas,Kaisa,Zilean,200,EUW1_6883264377,0
Twitch,Pyke,Jinx,Lulu,-1911,EUW1_6883017845,0
Kaisa,Janna,Zeri,Lulu,-1019,EUW1_6882979020,0
KogMaw,Lulu,Ezreal,Taric,-2098,EUW1_6882952656,0
Ezreal,Senna,KogMaw,Lulu,1266,EUW1_6882871486,0
Twitch,Rakan,Zeri,Thresh,-723,EUW1_6882827763,1
Ashe,Ivern,Tristana,Nautilus,-228,EUW1_6882782194,1
TwistedFate,Seraphine,Varus,Rumble,1387,EUW1_6882740098,0
Nilah,Soraka,Twitch,Milio,-2781,EUW1_6882698137,1
Zeri,Blitzcrank,Fiora,Nautilus,1125,EUW1_6882659376,0
Draven,Janna,Ezreal,Ashe,-1612,EUW1_6882622277,0
Aphelios,Thresh,Zeri,Janna,346,EUW1_6882599432,1
Jinx,Camille,Ezreal,Senna,821,EUW1_6882570739,0
KogMaw,Lulu,Yasuo,Janna,-770,EUW1_6882547652,0
Jinx,Lulu,Aphelios,Pyke,-3624,EUW1_6882508925,0
Zeri,Thresh,Jhin,Blitzcrank,1056,EUW1_6881796687,1
Draven,Rumble,Samira,Rakan,1813,EUW1_6877265126,0
Kaisa,Alistar,Xayah,Rakan,-835,EUW1_6877169136,0
Hwei,Senna,Caitlyn,Janna,-112,EUW1_6877114092,0
Kalista,Ashe,Jinx,Janna,917,EUW1_6876901353,1
Kaisa,Soraka,Xayah,Rakan,-985,EUW1_6876373487,0
Zeri,Soraka,Twitch,Bard,1793,EUW1_6876347539,0
Smolder,Nautilus,Lucian,Ashe,833,EUW1_6876187816,1
Smolder,Yuumi,Zeri,Nautilus,-611,EUW1_6875457374,0
Kaisa,Alistar,Zeri,Soraka,-1591,EUW1_6875412122,0
Jhin,Janna,Lucian,Rell,91,EUW1_6875352530,0
Sivir,Pyke,Jinx,Soraka,2634,EUW1_6874544701,0
Caitlyn,Neeko,Aphelios,Lulu,319,EUW1_6872967257,0
Aphelios,Lulu,Twitch,Janna,817,EUW1_6872715627,0
Caitlyn,Senna,Kaisa,Ashe,-3171,EUW1_6852872454,0
Jinx,Alistar,Kaisa,Zyra,-874,EUW1_6882541559,0
MissFortune,Rell,Jinx,Neeko,736,EUW1_6878188600,0
Aphelios,Lulu,Zeri,Janna,554,EUW1_6877576196,0
Kaisa,Braum,Aphelios,Janna,-205,EUW1_6877051418,0
Kaisa,Nautilus,Xayah,Xerath,2662,EUW1_6876825809,1
MissFortune,Pyke,Jinx,Braum,1604,EUW1_6876216948,0
Jinx,Thresh,Kaisa,Seraphine,2334,EUW1_6876151010,1
Kaisa,Camille,Yasuo,Senna,-2818,EUW1_6876019465,0
Draven,Pyke,Jinx,Alistar,-221,EUW1_6875747723,0
Smolder,Janna,Kaisa,Sona,-587,EUW1_6875679721,0
Caitlyn,Senna,Jinx,Milio,-191,EUW1_6875472334,0
Jinx,Renata,Ashe,Janna,435,EUW1_6875442574,0
Draven,Thresh,Aphelios,Shaco,251,EUW1_6875408525,0
Ezreal,Pyke,Kaisa,Thresh,-877,EUW1_6874294053,1
Jinx,Lulu,Kaisa,Leona,1430,EUW1_6874247786,1
Jinx,Velkoz,Ashe,Senna,-320,EUW1_6874075296,1
Nilah,Shaco,Kalista,Rell,-325,EUW1_6874042005,0
Xayah,Blitzcrank,Vayne,Janna,168,EUW1_6874016494,1
Zeri,Lulu,Kalista,Blitzcrank,-729,EUW1_6883592067,0
MissFortune,Nautilus,Kaisa,Rakan,340,EUW1_6883566594,1
Ezreal,Bard,Lucian,Nami,453,EUW1_6882120958,1
Ezreal,Rakan,Kaisa,Leona,-283,EUW1_6876887994,0
Zeri,Lulu,Varus,Velkoz,179,EUW1_6876854017,0
Samira,Bard,Nilah,Rakan,728,EUW1_6876819733,1
Zeri,Leona,Jinx,Zilean,724,EUW1_6876743204,0
Samira,Nautilus,Caitlyn,Karma,1109,EUW1_6876076786,0
Kaisa,Thresh,Lucian,Milio,761,EUW1_6876016519,0
Kaisa,Nautilus,Samira,Thresh,-625,EUW1_6875946313,0
Draven,Camille,Chogath,Senna,3319,EUW1_6875577339,1
Jhin,Karma,Tristana,Thresh,-1031,EUW1_6875540827,0
Twitch,Braum,Jinx,Karma,595,EUW1_6875494854,1
MissFortune,Pyke,Jinx,Alistar,2415,EUW1_6875461531,1
Yasuo,Bard,Jinx,Blitzcrank,27,EUW1_6875399080,0
Ashe,FiddleSticks,Caitlyn,Alistar,-161,EUW1_6875350846,0
Jinx,Janna,Zeri,Yuumi,335,EUW1_6875318072,1
Caitlyn,Xerath,Jinx,Milio,3214,EUW1_6875191146,1
MissFortune,Braum,Jinx,Rell,-497,EUW1_6875167936,1
MissFortune,Seraphine,Zeri,Yuumi,-1006,EUW1_6883198069,0
Jinx,Lulu,Kaisa,Leona,67,EUW1_6882756178,0
Zeri,Zilean,Twitch,Nami,-984,EUW1_6882717931,1
Lucian,Nami,Ezreal,Lux,3348,EUW1_6882677791,1
Jinx,Braum,Caitlyn,Seraphine,-3085,EUW1_6882634049,1
Caitlyn,Seraphine,Kaisa,Janna,622,EUW1_6882540177,0
Senna,Seraphine,Twitch,Lulu,-66,EUW1_6882526463,0
Tristana,Maokai,Senna,Seraphine,-1876,EUW1_6882492881,0
Lucian,Sylas,Jhin,Seraphine,16,EUW1_6882025693,1
Zeri,Zac,Tristana,Janna,-1289,EUW1_6881960064,1
Xayah,Seraphine,Vayne,Zac,2944,EUW1_6881901077,0
Twitch,Pyke,Vayne,Janna,684,EUW1_6881839618,0
Vayne,Rell,Kaisa,Seraphine,59,EUW1_6881777707,0
Kaisa,Nautilus,Ashe,Braum,-772,EUW1_6881730527,0
Lucian,Renata,Ezreal,Seraphine,-2307,EUW1_6880993506,0
Twitch,Janna,Caitlyn,Seraphine,173,EUW1_6880958782,1
Draven,Nautilus,Lucian,Braum,-262,EUW1_6879475523,1
Varus,Seraphine,Zeri,Yuumi,1363,EUW1_6878254499,1
Jinx,Thresh,Ashe,Seraphine,-1557,EUW1_6878171096,1
Twitch,Seraphine,Jinx,Thresh,933,EUW1_6878125767,1
Zeri,Lulu,Jinx,Alistar,-514,EUW1_6881994779,0
Anivia,Braum,Kalista,Camille,-1852,EUW1_6881371848,1
KogMaw,Alistar,Kaisa,Soraka,1810,EUW1_6880444494,1
Jinx,Alistar,Ashe,Velkoz,-1374,EUW1_6880282874,1
Kaisa,Nautilus,Ezreal,Janna,-759,EUW1_6879533407,1
Lucian,Janna,Yasuo,Alistar,1086,EUW1_6879001300,1
Lucian,Braum,Ashe,Blitzcrank,-1564,EUW1_6876082470,1
Jinx,Pantheon,Draven,Rell,-704,EUW1_6875445856,1
Lucian,Janna,Zeri,Karma,219,EUW1_6869983166,1
Lucian,Thresh,Zeri,Blitzcrank,-1686,EUW1_6869809156,1
Sivir,Nami,Xayah,Alistar,621,EUW1_6869738352,1
Smolder,Alistar,Caitlyn,Nami,368,EUW1_6869300473,0
Lux,Thresh,Jinx,Pyke,-695,EUW1_6869279747,0
Smolder,Bard,Aphelios,Rell,-455,EUW1_6869259161,0
Twitch,Nautilus,Samira,Maokai,1936,EUW1_6869237206,0
Yasuo,Lulu,Nilah,Janna,323,EUW1_6869223561,1
Ezreal,Bard,Jinx,Senna,-272,EUW1_6882410079,0
KogMaw,Janna,Zeri,Bard,-574,EUW1_6882318635,1
Ashe,Karma,MissFortune,Janna,682,EUW1_6882295397,1
Twitch,Lux,Jinx,Rakan,989,EUW1_6881631095,1
Kaisa,Camille,Varus,Zyra,-498,EUW1_6881274788,0
Xayah,Renata,Vayne,Rell,898,EUW1_6881195863,0
Jhin,Janna,Tristana,Alistar,211,EUW1_6881131476,0
Jinx,Yuumi,Hwei,Janna,33,EUW1_6881095771,1
Jinx,Ivern,Tristana,Lulu,-1207,EUW1_6881040572,0
Zeri,Leona,Jinx,Karma,2081,EUW1_6881011737,1
Jinx,Nautilus,Varus,Karma,3161,EUW1_6880037476,1
Draven,Leona,Samira,Rell,822,EUW1_6879971872,1
Jhin,Janna,KogMaw,Milio,-696,EUW1_6879929086,1
Yasuo,Rell,Kaisa,Nautilus,615,EUW1_6879890780,0
Samira,Janna,Kaisa,Milio,2765,EUW1_6879803247,1
KogMaw,Lulu,Jinx,Senna,499,EUW1_6879754336,1
Twitch,Nautilus,Ezreal,Poppy,-138,EUW1_6879734697,1
Jinx,Karma,Lucian,Braum,2392,EUW1_6879674746,0
Ezreal,Braum,Zeri,Pyke,780,EUW1_6879617320,0
Vayne,Pyke,Twitch,Velkoz,1242,EUW1_6879540714,1
Kaisa,Karma,Twitch,Lulu,463,EUW1_6879492891,1
Lucian,Sett,Aphelios,Thresh,612,EUW1_6877162688,1
Samira,Janna,Ezreal,Nocturne,-700,EUW1_6877106905,0
Jinx,Milio,Ashe,Alistar,662,EUW1_6877048048,1
Zeri,Rakan,Vayne,Senna,1510,EUW1_6876901727,1
Xayah,Rakan,Vayne,Brand,-153,EUW1_6876855770,0
Samira,Leona,Lucian,Pyke,-505,EUW1_6881038475,1
Draven,Thresh,Samira,Leona,1162,EUW1_6880995062,0
Ashe,Soraka,Sivir,Senna,-1629,EUW1_6875371911,0
Samira,Thresh,Varus,Leona,-1025,EUW1_6875266194,0
Twitch,Sona,Kaisa,Pyke,-718,EUW1_6875203058,1
Anivia,Briar,Jinx,Senna,-1818,EUW1_6883576933,0
Caitlyn,Thresh,Zeri,Braum,647,EUW1_6883547471,0
Lucian,Nami,Zeri,Milio,514,EUW1_6883501748,1
Jinx,Sett,Draven,Blitzcrank,-871,EUW1_6883441396,1
Kaisa,Nami,Smolder,Renata,756,EUW1_6883407250,0
Zeri,Rakan,Twitch,Brand,-1001,EUW1_6883344731,1
Vayne,Rakan,Zeri,Velkoz,-1401,EUW1_6883290660,1
Kaisa,TahmKench,AurelionSol,Leona,284,EUW1_6883210685,1
Twitch,Leona,Zeri,Thresh,18,EUW1_6883140312,1
Jinx,Rakan,Smolder,Blitzcrank,-293,EUW1_6882861550,0
Zeri,Zilean,Sivir,Velkoz,-707,EUW1_6882812194,0
MissFortune,Pyke,Lucian,Nami,-1017,EUW1_6882768405,0
Aphelios,Nami,Ashe,Braum,-1342,EUW1_6882723749,0
Jinx,Neeko,Jhin,Lux,-351,EUW1_6882677048,1
Kaisa,Blitzcrank,Ashe,Lulu,-1021,EUW1_6882636836,1
Yasuo,Shaco,Kaisa,Blitzcrank,673,EUW1_6882601874,1
KogMaw,Bard,Jinx,Morgana,1044,EUW1_6882564146,1
Twitch,Janna,Caitlyn,Bard,27,EUW1_6882542021,1
Zeri,Janna,Xayah,Rakan,710,EUW1_6882200449,1
Kaisa,FiddleSticks,Jinx,Milio,-757,EUW1_6882174124,0
Vayne,Braum,Tristana,Pyke,-346,EUW1_6883751921,0
Jinx,Rakan,Kaisa,Braum,1274,EUW1_6883746518,1
Twitch,Braum,Jinx,Shaco,712,EUW1_6883263051,0
Kaisa,Janna,Twitch,Zilean,72,EUW1_6883209100,1
Kaisa,Leona,Xayah,Teemo,2503,EUW1_6883147927,1
TwistedFate,Pyke,Aphelios,Braum,1896,EUW1_6883086589,0
Jinx,Karma,Ashe,Janna,-561,EUW1_6882550120,0
Aphelios,Leona,KogMaw,Blitzcrank,2437,EUW1_6882525028,1
Aphelios,Thresh,Kaisa,Karma,-1496,EUW1_6882493814,0
Ezreal,Senna,Twitch,Rakan,985,EUW1_6882461992,0
Varus,Janna,Caitlyn,Karma,-1209,EUW1_6882388966,0
Varus,Sylas,Ashe,Sona,3078,EUW1_6882374812,0
Jinx,Zyra,Kaisa,Janna,-672,EUW1_6881849129,1
Vayne,Zyra,Ornn,Senna,1209,EUW1_6881789138,1
Twitch,Sona,MissFortune,Janna,-587,EUW1_6881710773,0
Brand,Nami,Twitch,Thresh,552,EUW1_6881660573,0
Ashe,Soraka,Twitch,Milio,-350,EUW1_6881609058,0
Twitch,Velkoz,Ezreal,TahmKench,1289,EUW1_6881559986,1
Vayne,Taric,Ashe,TahmKench,1968,EUW1_6881518434,1
Zeri,Karma,Tristana,Blitzcrank,-2453,EUW1_6883465166,0
Varus,Braum,Zeri,Maokai,-1735,EUW1_6882019476,1
Kaisa,Morgana,Varus,Ashe,-640,EUW1_6881959556,1
Twitch,Janna,Jinx,Soraka,-687,EUW1_6881858340,1
Draven,Nautilus,Zeri,Zilean,847,EUW1_6881330157,1
Caitlyn,Lux,Sivir,Braum,2478,EUW1_6880372046,1
Kaisa,Blitzcrank,Aphelios,Janna,343,EUW1_6880155348,1
Kaisa,Lulu,Samira,Leona,-325,EUW1_6880068906,0
Zeri,Yuumi,Twitch,Thresh,-2291,EUW1_6879977182,0
Varus,Nami,Jinx,Lulu,1204,EUW1_6879948666,1
Twitch,Janna,Jinx,Lulu,127,EUW1_6879549540,1
Zeri,Nautilus,Jinx,Zyra,-838,EUW1_6878287893,0
Jinx,Thresh,Zeri,Rell,496,EUW1_6878241368,0
Jhin,Pyke,Sivir,Yuumi,439,EUW1_6878180785,0
Twitch,Braum,Samira,Pantheon,-415,EUW1_6878142242,0
Twitch,Janna,Ezreal,Senna,-2424,EUW1_6877102670,0
Taliyah,Maokai,Jinx,TahmKench,-1726,EUW1_6876917570,0
Karthus,Camille,Zeri,Milio,-1030,EUW1_6876542774,1
Kaisa,Lux,Zeri,Rakan,2984,EUW1_6882558791,1
Kaisa,Rakan,Zeri,Yuumi,1749,EUW1_6881072837,1
Xayah,Rakan,Lucian,Thresh,697,EUW1_6880946142,1
Jinx,Rakan,Twitch,Lulu,-153,EUW1_6880153143,1
Kaisa,Janna,Sivir,Nami,247,EUW1_6879616150,0
Jinx,Lulu,Twitch,Milio,2114,EUW1_6879577140,1
Jinx,Braum,Lucian,Poppy,-1492,EUW1_6879513038,1
Lucian,Nami,Jinx,Zilean,1348,EUW1_6879483734,1
Jhin,Janna,Ashe,Velkoz,-1774,EUW1_6878069885,0
Zeri,Lulu,Twitch,Milio,-1827,EUW1_6877996594,0
Draven,Soraka,Zeri,Thresh,-168,EUW1_6877979756,0
Kaisa,Pantheon,Jinx,Milio,-250,EUW1_6877014761,0
Jinx,Renata,Lux,Pyke,-813,EUW1_6876808838,0
MissFortune,Bard,Vayne,Rakan,147,EUW1_6872673229,0
Aphelios,Thresh,Ashe,Bard,-2838,EUW1_6872640783,0
Ezreal,Camille,Xayah,Bard,1686,EUW1_6872599163,1
Smolder,Bard,Jinx,Milio,144,EUW1_6872566268,1
Tristana,Nautilus,Seraphine,Bard,627,EUW1_6872516878,1
Varus,Bard,Jinx,Rell,-183,EUW1_6867508663,1
Samira,Pyke,Jinx,Bard,2171,EUW1_6867450187,1
Smolder,Janna,Sivir,Seraphine,-356,EUW1_6867374096,0
Smolder,Bard,Jhin,Thresh,-1599,EUW1_6867305622,1
Yasuo,Bard,Lucian,Milio,-2446,EUW1_6866912298,0
Twitch,Bard,Draven,Zilean,-4091,EUW1_6866891586,0
Caitlyn,Bard,Twitch,Renata,759,EUW1_6866832752,0
Jinx,Bard,Zeri,Janna,-1022,EUW1_6866794537,0
Twitch,Taric,Zeri,Bard,2332,EUW1_6866526345,1
Xayah,Thresh,Ashe,Bard,-40,EUW1_6866497809,1
Twitch,Bard,Caitlyn,Nautilus,733,EUW1_6864903198,1
Sivir,Bard,Zeri,Nami,412,EUW1_6864858677,0
Caitlyn,Bard,Twitch,Soraka,1006,EUW1_6864818604,1
KogMaw,Lulu,Jinx,Bard,-195,EUW1_6864022792,1
Jinx,Janna,Aphelios,Pyke,-2769,EUW1_6883597036,0
Pantheon,Taliyah,Jinx,Alistar,2705,EUW1_6883572091,1
Ashe,Janna,Caitlyn,Karma,419,EUW1_6883537633,0
Ezreal,Rakan,Jinx,Soraka,2264,EUW1_6882847840,1
Ashe,Soraka,Zeri,Yuumi,2005,EUW1_6882786358,1
Twitch,Tristana,Ashe,Rakan,3348,EUW1_6882748034,1
Kaisa,Alistar,KogMaw,Braum,-1668,EUW1_6882705066,0
Jinx,Lulu,Jhin,Senna,-1818,EUW1_6882225553,1
Draven,Janna,Ezreal,Rumble,495,EUW1_6882166201,1
Ezreal,Velkoz,Jinx,Janna,-460,EUW1_6872901483,1
Tristana,Janna,Zeri,Thresh,-459,EUW1_6872833104,1
Draven,Thresh,Zeri,Braum,1620,EUW1_6872603192,0
Kaisa,Maokai,Twitch,Lulu,418,EUW1_6872533821,0
Kaisa,Seraphine,Ashe,Nami,1699,EUW1_6872476064,0
Jinx,Rakan,Smolder,Taric,1720,EUW1_6822021733,0
Nilah,Alistar,Lucian,Braum,1077,EUW1_6821930297,1
Aphelios,Nami,Rammus,Yuumi,-155,EUW1_6821853361,1
Twitch,Pyke,Senna,Rakan,-89,EUW1_6820931928,1
Lucian,Nami,Smolder,Leona,-1135,EUW1_6798072792,1
KogMaw,Rell,Kalista,Alistar,977,EUW1_6873948889,0
Zeri,Senna,Ezreal,Alistar,-586,EUW1_6873910988,0
Kaisa,Rakan,Tristana,Lulu,-2968,EUW1_6873886582,0
Ezreal,Blitzcrank,Kaisa,Thresh,-831,EUW1_6873835505,0
Zeri,Braum,Heimerdinger,Nautilus,-3320,EUW1_6873818956,0
Vayne,Hwei,Ezreal,Sona,-156,EUW1_6873785407,1
Jinx,Janna,Aphelios,Neeko,516,EUW1_6873769433,0
Draven,Lux,Lucian,Nami,1067,EUW1_6873767748,0
Jinx,Janna,Twitch,Galio,1119,EUW1_6873748414,1
Zeri,Brand,Ashe,Shaco,-3103,EUW1_6872390258,0
Kaisa,Alistar,Twitch,Janna,-854,EUW1_6872381590,0
Twitch,Nami,Jinx,Milio,390,EUW1_6872338255,1
Ashe,Sona,Varus,Sylas,5,EUW1_6872333007,0
Kalista,Alistar,Twitch,Milio,2111,EUW1_6872330593,1
Kalista,Thresh,Kaisa,Pyke,551,EUW1_6872321758,1
Vayne,Pyke,Lucian,Sylas,-1291,EUW1_6872307686,0
Aphelios,Blitzcrank,Ashe,Velkoz,-2021,EUW1_6869389996,1
Twitch,Braum,Zeri,Thresh,-2286,EUW1_6883150313,1
Varus,Janna,Smolder,Nautilus,-898,EUW1_6872927058,1
Jinx,Milio,Kaisa,Camille,42,EUW1_6872885555,1
Ashe,Karma,Jinx,Lulu,-397,EUW1_6872831120,1
Twitch,Zilean,Smolder,Senna,409,EUW1_6872772029,0
Twitch,Braum,Kaisa,Taric,2420,EUW1_6872698763,1
Twitch,Renata,Draven,Janna,1262,EUW1_6871667210,1
Twitch,Lulu,Aphelios,Thresh,-352,EUW1_6871399540,0
Zeri,Leona,Twitch,Nami,-1281,EUW1_6870490033,0
Smolder,Senna,Twitch,Zac,-1047,EUW1_6870397130,0
Smolder,Janna,Twitch,Sona,742,EUW1_6870295141,1
Twitch,Thresh,KogMaw,Camille,-862,EUW1_6869954350,1
Jhin,Leona,Zeri,Lux,-1739,EUW1_6869898648,0
Twitch,Milio,Varus,Nami,1018,EUW1_6869834307,1
Vayne,Bard,Twitch,Janna,68,EUW1_6869756473,0
Tristana,Zac,Twitch,Alistar,-668,EUW1_6869040703,1
Ezreal,Karma,Twitch,Zilean,-740,EUW1_6868977050,0
Twitch,Renata,Seraphine,Pyke,373,EUW1_6868918327,1
Twitch,Lulu,KogMaw,Soraka,147,EUW1_6868838379,0
Senna,Sona,Kaisa,Nautilus,-953,EUW1_6873826520,0
Xayah,Janna,Zeri,Sona,-322,EUW1_6873804839,1
Zeri,Sona,Vayne,Leona,-1474,EUW1_6873777886,0
Samira,Sona,Smolder,Milio,670,EUW1_6872714870,1
Jhin,Braum,Vayne,Sona,794,EUW1_6872627504,1
Zeri,Rakan,Vayne,Sona,-179,EUW1_6871288572,1
Jinx,Milio,Varus,Sona,-455,EUW1_6869358848,0
Smolder,Janna,Zeri,Sona,-1254,EUW1_6867890795,0
Caitlyn,Karma,Jinx,Sona,1731,EUW1_6867790035,0
Senna,Rakan,Kaisa,Camille,366,EUW1_6867761064,1
Sivir,Sona,Caitlyn,Zyra,468,EUW1_6867722867,1
Draven,Pyke,Sivir,Sona,3904,EUW1_6867708484,1
KogMaw,Karma,Jinx,Sona,2315,EUW1_6866619440,1
Nasus,Senna,Aphelios,Sona,-1922,EUW1_6866563544,0
Kalista,Sona,Kaisa,Maokai,-374,EUW1_6866508170,0
Draven,Pyke,Varus,Lulu,-2352,EUW1_6883357126,0
Vayne,Pyke,Seraphine,Rakan,1847,EUW1_6883099183,1
Kaisa,Bard,Jinx,Milio,-784,EUW1_6883024319,1
Jinx,Lulu,Kaisa,Sona,288,EUW1_6882984474,1
Karthus,Maokai,Twitch,Lulu,2478,EUW1_6882306972,0
Veigar,Pyke,Kaisa,Karma,-1882,EUW1_6882292888,1
Jinx,Janna,Jhin,Pyke,-3196,EUW1_6882279576,0
Draven,Thresh,Yasuo,Taric,2576,EUW1_6882232159,0
Jinx,Bard,Ezreal,Shaco,1320,EUW1_6882201130,1
Draven,Zac,Twitch,Lulu,833,EUW1_6882163742,1
Twitch,Sona,Jinx,Milio,-64,EUW1_6882108735,1
Kalista,Blitzcrank,Caitlyn,Senna,743,EUW1_6882065788,0
Twitch,Camille,Kaisa,Rakan,2471,EUW1_6879125692,1
Jinx,Karma,Ashe,Braum,-1267,EUW1_6879083596,0
Jinx,Blitzcrank,Ashe,Karma,463,EUW1_6879029040,0
MissFortune,Nautilus,KogMaw,Leona,-1914,EUW1_6873723454,0
Ezreal,Janna,Kaisa,Senna,180,EUW1_6873719452,1
Ashe,Milio,Varus,Nautilus,-641,EUW1_6873716068,1
Zeri,Yuumi,Kaisa,Braum,-1874,EUW1_6879984093,0
Kaisa,Alistar,Caitlyn,Janna,104,EUW1_6879940052,1
Twitch,Shaco,Ezreal,Leona,-713,EUW1_6883028968,1
Vayne,Janna,Kaisa,Blitzcrank,546,EUW1_6882850844,0
Jhin,Nautilus,Kaisa,Alistar,1547,EUW1_6882809099,1
Vayne,Lulu,Lucian,Janna,-981,EUW1_6881578576,0
Jinx,Pyke,Kaisa,Taric,-1010,EUW1_6881479352,1
Smolder,Thresh,TahmKench,Senna,-70,EUW1_6881366565,1
Kaisa,Leona,Jinx,Lulu,-1551,EUW1_6881267621,0
Jinx,Lux,Tristana,Leona,802,EUW1_6881182449,1
Nilah,Veigar,KogMaw,Galio,-2970,EUW1_6871947448,0
Tristana,Bard,Varus,Velkoz,-1630,EUW1_6871856381,0
Aphelios,Zilean,KogMaw,Janna,450,EUW1_6871655139,0
Jinx,Bard,Zeri,Janna,-852,EUW1_6871519020,0
Kalista,Janna,Zeri,Nami,1660,EUW1_6871486602,0
Jinx,Braum,Ezreal,Maokai,-3099,EUW1_6871444058,0
Kaisa,Maokai,Senna,TahmKench,813,EUW1_6871400710,0
Caitlyn,Blitzcrank,Xayah,Nautilus,-668,EUW1_6870260447,1
Draven,Janna,Jinx,Thresh,1036,EUW1_6870073929,1
Ashe,Milio,Aphelios,Thresh,-1755,EUW1_6869986642,0
Xayah,Zilean,Ezreal,Thresh,-866,EUW1_6869628145,1
Jinx,Pyke,Twitch,Camille,1084,EUW1_6880966515,1
Sivir,Thresh,Zeri,Taric,2946,EUW1_6880946672,1
Twitch,Lulu,Samira,Rell,260,EUW1_6880915171,1
Jhin,Blitzcrank,Kaisa,Janna,1387,EUW1_6879692793,1
Draven,Zilean,Ashe,Rumble,86,EUW1_6879627452,0
Jinx,Velkoz,KogMaw,Braum,365,EUW1_6879598347,1
Jinx,Blitzcrank,Kaisa,Rell,510,EUW1_6879564885,0
Zeri,Milio,KogMaw,Janna,-409,EUW1_6879527058,0
Veigar,Milio,Kaisa,Blitzcrank,170,EUW1_6877329023,1
Draven,Zilean,Zeri,Zyra,-1621,EUW1_6877276231,0
MissFortune,Maokai,Smolder,Seraphine,-299,EUW1_6877225901,1
Caitlyn,Braum,Samira,Poppy,492,EUW1_6877185704,1
Jhin,Senna,Varus,Taric,1903,EUW1_6877129862,0
Jinx,Braum,Vayne,Seraphine,-2236,EUW1_6877073143,0
Jinx,Janna,Kaisa,Lulu,138,EUW1_6875222176,0
Xayah,Nautilus,Kaisa,Janna,1759,EUW1_6875201924,0
Jinx,Karma,Kaisa,Taric,1083,EUW1_6875178913,1
Kaisa,Leona,Tristana,Taric,-879,EUW1_6875161718,0
Kaisa,Braum,KogMaw,Lulu,-487,EUW1_6873864806,0
Lissandra,Rakan,Zeri,Taric,760,EUW1_6873838980,0
Sivir,Blitzcrank,Draven,Nami,-265,EUW1_6883508777,1
Twitch,Lulu,Tristana,Velkoz,-3161,EUW1_6883468769,0
Ashe,Renata,Jinx,Karma,-117,EUW1_6883348905,0
Jinx,Braum,Vayne,Taric,358,EUW1_6883284407,1
Smolder,Karma,Jinx,Janna,385,EUW1_6883196002,0
Vayne,Milio,KogMaw,Taric,-1168,EUW1_6883138276,0
Jinx,Nami,Lucian,Rell,-933,EUW1_6877566981,0
Twitch,Blitzcrank,Yasuo,Janna,312,EUW1_6877344721,1
Ashe,Ezreal,Sivir,Janna,-198,EUW1_6877092097,0
Xayah,Thresh,Zeri,Bard,727,EUW1_6876771528,1
Ashe,Milio,Zeri,Yuumi,1790,EUW1_6876726289,1
KogMaw,Lulu,Draven,Janna,-857,EUW1_6876685760,0
Ezreal,Lux,Draven,Pyke,-519,EUW1_6881465791,1
TwistedFate,Blitzcrank,Twitch,Lulu,43,EUW1_6881401880,0
Jinx,Braum,Ezreal,Bard,-2232,EUW1_6881350116,0
Yasuo,Yuumi,Varus,Alistar,2135,EUW1_6878811272,0
Zeri,Renata,Lucian,Milio,-140,EUW1_6878747392,1
Zeri,Rell,Jinx,Senna,996,EUW1_6878549880,1
Draven,Taliyah,Kaisa,Rakan,1132,EUW1_6874287962,0
Jinx,Karma,Ezreal,Zyra,-1365,EUW1_6874247939,1
Kalista,Rell,Kaisa,Janna,1863,EUW1_6874183280,0
Jhin,Taric,Karthus,Senna,312,EUW1_6873929490,1
Kaisa,Taric,Jinx,Lulu,-195,EUW1_6873367457,0
Jhin,Rakan,Kaisa,Renata,1549,EUW1_6873307859,1
Kaisa,Maokai,Lucian,Renata,-795,EUW1_6873064068,1
Kaisa,Pyke,Twitch,Nami,1047,EUW1_6872696719,1
